Name,Pillar (auto),Discipline,Line,Importance,Level,Keystone,Related To,Regressions,Progressions,Also Appears In,Variant Of,Session Role,Notes,,,,,,,,,,,,,,
Front Walkover,Flocomotion,Inverted & Rotational Locomotion,Walkovers,2,9,FALSE,,,,,,,,,,,,,,,Walkovers,Cartwheel Family,Flips & Handsprings,,,,
Back Walkover,Flocomotion,Inverted & Rotational Locomotion,Walkovers,3,9,FALSE,,,,,,,,,,,,,,,Walkovers,Cartwheel Family,Flips & Handsprings,,,,
,,,,,,FALSE,,,,,,,,,,,,,,,,,,,,,
Leg Sweep,Flocomotion,Rhythm & Flow,Floor Flow,2,2,FALSE,,,,,,,,,,,,,,,Rhythmic Foundations,Floor Flow,Kicks,Acrobatics,Dance / Musical Movement,,
Helicopter,Flocomotion,Rhythm & Flow,Floor Flow,3,9,FALSE,,,,,,,,,,,,,,,Rhythmic Foundations,Floor Flow,Kicks,Acrobatics,Dance / Musical Movement,,
Windmill,Flocomotion,Rhythm & Flow,Floor Flow,2,4,FALSE,,,,,,,,,,,,,,,Rhythmic Foundations,Floor Flow,Kicks,Acrobatics,Dance / Musical Movement,,
Around the World,Flocomotion,Rhythm & Flow,Floor Flow,2,5,FALSE,,,,,,,,,,,,,,,Rhythmic Foundations,Floor Flow,Kicks,Acrobatics,Dance / Musical Movement,,
90/90 to Belly Roll,Flocomotion,Rhythm & Flow,Floor Flow,3,4,FALSE,,,,,,,,,,,,,,,Rhythmic Foundations,Floor Flow,Kicks,Acrobatics,Dance / Musical Movement,,
Fish Flop,Flocomotion,Rhythm & Flow,Floor Flow,2,6,FALSE,,,,Ground Locomotion - Rolling Locomotion,,,,,,,,,,,Rhythmic Foundations,Floor Flow,Kicks,Acrobatics,Dance / Musical Movement,,
Fish Flop - Single Leg,Flocomotion,Rhythm & Flow,Floor Flow,2,4,FALSE,,,,Ground Locomotion - Rolling Locomotion,Fish Flop,,,,,,,,,,Rhythmic Foundations,Floor Flow,Kicks,Acrobatics,Dance / Musical Movement,,
Shoulder Roll,Flocomotion,Rhythm & Flow,Floor Flow,3,5,FALSE,,,,Ground Locomotion - Rolling Locomotion,,,,,,,,,,,Rhythmic Foundations,Floor Flow,Kicks,Acrobatics,Dance / Musical Movement,,
,,,,,,FALSE,,,,,,,,,,,,,,,,,,,,,
Shoulder Stand - Parallettes,Handstands & Balance,Hand Balancing & Inversion,Bent-Arm Balances,2,6,FALSE,,,,,,,,,,,,,,,Bent-Arm Balances,Static Inversion,Shaped Handstands,Press Entries,,,
Shoulder Stand - Rings,Handstands & Balance,Hand Balancing & Inversion,Bent-Arm Balances,2,8,TRUE,,,,,,,,,,,,,,,Bent-Arm Balances,Static Inversion,Shaped Handstands,Press Entries,,,
Croc,Handstands & Balance,Hand Balancing & Inversion,Bent-Arm Balances,2,6,FALSE,,,,,,,,,,,,,,,Bent-Arm Balances,Static Inversion,Shaped Handstands,Press Entries,,,
QDR,Handstands & Balance,Hand Balancing & Inversion,Bent-Arm Balances,2,8,FALSE,,,QDR - Full Rotation,,,,,,,,,,,,Bent-Arm Balances,Static Inversion,Shaped Handstands,Press Entries,,,
QDR - Full Rotation,Handstands & Balance,Hand Balancing & Inversion,Bent-Arm Balances,3,9,FALSE,,QDR,,Rhythm & Flow - Floor Flow,QDR,,,,,,,,,,Bent-Arm Balances,Static Inversion,Shaped Handstands,Press Entries,,,
Bridge Circle,Mobility,Spinal Mobility,Spinal Extension & Bridging,2,6,FALSE,,Bridge Circle - Half,,Rhythm & Flow - Floor Flow,,,,,,,,,,,Spinal Extension & Bridging,Spinal Waves,,,,,
Bridge Circle - Half,Mobility,Spinal Mobility,Spinal Extension & Bridging,2,3,FALSE,,,Bridge Circle,Rhythm & Flow - Floor Flow,Bridge Circle,,,,,,,,,,Spinal Extension & Bridging,Spinal Waves,,,,,
Bridge Circle - Reach,Mobility,Spinal Mobility,Spinal Extension & Bridging,2,3,FALSE,,,Bridge Circle,Rhythm & Flow - Floor Flow,Bridge Circle,,,,,,,,,,Spinal Extension & Bridging,Spinal Waves,,,,,
